ranking_response,related_searches,full_path,part_path,page_count,about,deep_links,fresh,infection,pages,totalEstimatedMatches,someResultsRemoved,label
10,7,0,1,1,0,0,0,0,10,43300000,1,0
9,8,0,6,6,0,1,0,0,9,818000,0,0
8,8,0,1,1,0,0,0,0,8,32600000,0,0
8,8,0,1,1,1,1,0,0,8,48000,0,0
8,8,0,2,2,1,0,0,0,7,38200000,0,0
8,8,0,1,1,1,0,0,0,8,9100000,1,0
10,0,0,7,7,2,1,0,0,10,81600,1,0
8,8,0,6,6,1,1,0,0,8,221000,0,0
10,0,0,1,1,0,0,0,0,10,57000,1,0
10,8,0,5,5,3,1,0,0,10,6820000,1,0
10,8,0,2,2,1,0,0,0,10,620000,0,0
10,8,1,1,1,0,1,0,0,10,38800,1,0
10,8,0,5,5,2,1,0,0,10,3210000,0,0
10,0,0,2,2,2,1,0,0,10,6470000,0,0
8,5,1,1,1,1,0,0,0,8,79900,1,0
8,8,0,1,1,1,1,0,0,8,7430000,1,0
10,0,0,6,6,0,0,0,0,10,152000,1,0
10,8,0,1,1,1,0,0,0,10,63700000,0,0
10,2,1,10,10,2,1,0,0,10,88,0,0
10,8,0,4,4,2,2,0,0,10,1100000,0,0
8,8,1,2,2,2,1,0,0,8,2420000,0,0
9,8,0,3,3,1,1,0,0,9,859000,0,0
10,8,0,7,7,2,2,0,0,10,37600000,0,0
8,8,0,4,4,4,1,0,0,8,2310000,0,0
10,8,0,2,2,2,1,0,0,10,14200000,0,0
8,8,0,4,4,2,1,0,0,8,15500000,0,0
8,8,0,1,1,1,1,0,0,8,2510000,0,0
10,0,0,5,5,1,1,0,0,10,61300,1,0
8,2,0,1,1,0,0,0,0,8,334000,0,0
10,8,0,9,9,5,1,0,0,10,131000000,0,0
10,8,0,7,7,5,1,0,0,10,23500000,0,0
9,8,0,3,3,2,1,0,0,9,6960000,1,0
8,8,0,4,4,4,1,0,0,8,37800000,0,0
8,8,0,1,1,1,1,0,0,8,464000,0,0
8,8,0,1,1,1,1,0,0,8,168000,0,0
8,8,0,5,5,2,1,0,0,8,15000000,0,0
10,7,0,3,3,0,0,0,0,10,6030000,1,0
9,8,0,9,9,8,1,0,0,9,11800000,0,0
10,8,0,8,8,1,1,0,0,10,4740000,0,0
10,8,0,7,7,1,0,0,0,10,2980000,1,0
9,8,1,2,2,1,1,0,0,9,2050000,0,0
10,0,0,1,1,1,1,0,0,10,19100,0,0
10,3,0,2,2,0,1,0,0,10,650000,0,0
10,0,2,3,3,0,0,0,0,10,81,0,0
8,8,0,1,1,1,1,0,0,8,11100000,0,0
8,8,0,3,3,1,0,0,0,8,634000,0,0
8,8,0,2,2,1,1,0,0,7,212000000,0,0
8,8,0,1,1,0,1,0,0,7,213000000,0,0
8,8,0,2,2,2,1,0,0,7,213000000,0,0
8,8,0,1,1,1,1,0,0,8,10100000,0,0
9,8,0,2,2,0,1,0,0,9,1870000,0,0
8,8,0,2,2,1,1,0,0,8,3550000,0,0
9,8,0,1,1,1,1,0,0,8,7350000,0,0
8,8,0,1,1,0,1,0,0,7,2820000,0,0
11,8,0,0,0,0,0,0,0,10,32200000,0,0
8,8,2,2,2,1,0,0,0,8,15100000,0,0
8,8,0,2,2,0,0,0,0,8,6620000,0,0
10,8,0,7,7,7,1,0,0,10,10400000,0,0
8,8,0,3,3,3,1,0,0,8,170000000,0,0
10,8,1,1,1,0,1,0,0,10,316000,0,0
10,8,0,1,1,0,1,0,0,10,32900,0,0
8,8,0,5,5,4,1,0,0,8,117000000,0,0
8,8,0,2,2,1,0,0,0,8,4520000,0,0
9,8,0,5,5,2,1,0,0,9,178000000,0,0
8,8,0,6,6,2,0,0,0,8,2240000,0,0
8,8,1,2,2,2,1,0,0,8,74400000,1,0
8,8,1,1,1,1,1,0,0,8,1590000,0,0
9,8,0,5,5,2,1,0,0,9,2280000,0,0
9,8,1,2,2,2,1,0,0,9,1780000,0,0
9,8,1,7,7,2,1,0,0,9,488000000,0,0
8,8,2,3,3,2,1,0,0,8,3710000,0,0
